gene_id	baseMean	log2FoldChange	lfcSE	pvalue	padj
ENSMUSG00000090546	263.9742	17.72451	2.73215561	6.286327e-11	1.229668e-06
ENSMUSG00000094812	40.53389	-18.91825	6.97080231	3.970212e-07	0.003883066
